#Frame	Avg_O1-H	Avg_Tilt	OH_count	Valid_HB_Count	Avg_H-O2	Avg_O1-H-O2_Angle
295	0.9837088016348844	-17.79426549109724	20	19	2.1495138709249333	152.96527667931005
296	0.9856040423079241	-17.81157810469747	20	19	2.1469135201905227	153.09216872686048
297	0.9861754968700861	-17.845642690905247	20	19	2.145606892931012	153.2051281624997
298	0.9855746221743038	-17.869583808392225	20	19	2.1452440290156205	153.31985374037254
299	0.9839335108887408	-17.897400332116273	20	19	2.145574467693563	153.46528306254226
300	0.981612838251403	-17.910040157480594	20	19	2.1464149250361437	153.6201504949679
301	0.9787509711828049	-17.90680048546233	20	19	2.147575163582227	153.7662513969624
302	0.9758220678508523	-17.916796996923573	20	19	2.148687638202871	153.91207763035206
303	0.972911781044073	-17.94010645789347	20	19	2.1495928432827744	154.07245638655277
304	0.9704844888003056	-17.968862203047667	20	19	2.150078009080086	154.22348590890158
305	0.9688357294294654	-17.995476949483752	20	19	2.1497588347431895	154.3752406713599
306	0.9683002454149039	-18.008540796795423	20	19	2.148310778345476	154.52702730868432
307	0.9687962338042381	-18.015965284390095	20	19	2.1461764704301456	154.66961452925545
308	0.9703137616543396	-18.025054869631084	20	19	2.1432777095013766	154.80566870136542
309	0.9728116964443574	-18.042247214077292	20	19	2.1397076095847836	154.9410718788985
310	0.9757948353350722	-18.063023510989673	20	19	2.1358826904501016	155.0641812662993
311	0.9790075311905525	-18.093502208826926	20	19	2.1321516170056882	155.1653650688203
312	0.9821407425027683	-18.110830367652767	20	19	2.1286571791994313	155.2589357484743
313	0.9845925087833202	-18.124349622106877	20	19	2.1258908848870814	155.35067226949474
314	0.9859686727076611	-18.13841341276669	20	19	2.124155413878387	155.465285426511
315	0.9862754542734752	-18.172755114055878	20	18	2.087462530794009	155.18935322510754
316	0.9851043910182137	-18.199254172361762	20	18	2.0879941548713936	155.3004025583446
317	0.9826808404998608	-18.22818103305154	20	18	2.0895907959651807	155.44587098023368
318	0.9791834274168913	-18.258773913132867	20	17	2.0848267181025797	154.86235322439006
319	0.9755728219882627	-18.283152322717417	20	18	2.0949622993269505	153.07448889865628
320	0.9721738833497368	-18.313497322761034	20	18	2.0977511053859725	153.2113348212905
321	0.9692252109232538	-18.329533727608087	20	18	2.100404130426423	153.32600344427735
322	0.9671752101514258	-18.37327629581832	20	18	2.102686566744809	153.3856195365803
323	0.966538824948677	-18.43941988622633	20	18	2.1038268244676743	153.41434682595323
324	0.9671895567361893	-18.514226115036095	20	17	2.1002075767090322	155.36740380897464
325	0.9692600374208376	-18.602101077326854	20	17	2.0996258021107064	155.34117027472894
326	0.9719561852202894	-18.698091976187637	20	17	2.098455808473812	155.27806116082346
327	0.9753637505660283	-18.796041604019493	20	17	2.0965840518112233	155.17303769878322
328	0.9786993541565865	-18.884974179388013	20	17	2.094232225666061	155.37810977221298
329	0.9813126213941207	-18.98137114028562	20	18	2.0937193198137733	153.3547102962534
330	0.9833196720723061	-19.091244350204498	20	18	2.091617352083569	153.30091653201364
331	0.9847387283177872	-19.18540291455231	20	18	2.0902265646872533	153.22338546906784
332	0.9849555772552743	-19.269137230073813	20	18	2.0899520169911034	153.1546901669028
333	0.9840195549086845	-19.37008485201673	20	18	2.090618799959979	153.73698787363082
334	0.9823742055380791	-19.48636054719299	20	18	2.0917467151983806	153.74839759725884
335	0.9802658377075325	-19.608089587113476	20	18	2.093623076252702	153.76936747445296
336	0.9777606810519124	-19.724574640996483	20	18	2.096307121463522	153.7683409383784
337	0.9749220227433476	-19.84574474577448	20	18	2.099864635782964	153.74041342519686
338	0.9724485013213698	-19.984325555199185	20	18	2.103664107480895	153.67878142107892
339	0.9707987131391373	-20.109101056917375	20	18	2.1072093835154537	153.56542504829915
340	0.9702370767899634	-20.224317334444702	20	18	2.1098500434933136	153.46589069148152
341	0.9708481040443324	-20.344381439899365	20	18	2.111514461653854	153.36911911582726
342	0.9723444275295117	-20.46697759333076	20	18	2.112252761474088	154.2260859995198
